dist_img,ref_img,dmos,var,split
I01_17_02.png,I01.png,4.57,0.496,test
I01_17_03.png,I01.png,4.33,0.596,train
I01_17_04.png,I01.png,3.4,0.879,train
I01_17_05.png,I01.png,2.13,0.846,train
I01_18_01.png,I01.png,4.5,0.5,test
I01_18_02.png,I01.png,4.57,0.496,train
I01_18_03.png,I01.png,4.57,0.496,train
I01_18_04.png,I01.png,4.37,0.795,train
I01_18_05.png,I01.png,3.97,0.657,train
I01_19_01.png,I01.png,4.53,0.499,train
I01_19_02.png,I01.png,3.93,0.727,train
I01_19_03.png,I01.png,2.77,0.803,train
I01_19_04.png,I01.png,1.53,0.562,train
I01_19_05.png,I01.png,1.37,0.482,train
I01_20_01.png,I01.png,4.53,0.67,test
I01_20_02.png,I01.png,3.9,1.136,train
I01_20_03.png,I01.png,4.0,0.966,test
I01_20_04.png,I01.png,3.33,1.35,train
I01_20_05.png,I01.png,3.23,1.542,train
I01_21_01.png,I01.png,3.37,0.948,train
I01_21_02.png,I01.png,2.57,0.883,train
I01_21_03.png,I01.png,2.03,0.74,train
I01_21_04.png,I01.png,2.13,0.884,train
I01_21_05.png,I01.png,1.43,0.559,train
I01_22_01.png,I01.png,4.63,0.605,train
I01_22_02.png,I01.png,4.0,0.894,train
I01_22_03.png,I01.png,4.0,0.931,val
I01_22_04.png,I01.png,3.2,0.98,train
I01_22_05.png,I01.png,2.2,0.909,train
I01_23_01.png,I01.png,2.73,0.929,train
I01_23_02.png,I01.png,2.17,0.86,val
I01_23_03.png,I01.png,2.2,0.945,train
I01_23_04.png,I01.png,2.37,1.197,train
I01_23_05.png,I01.png,1.57,0.616,train
I01_24_01.png,I01.png,3.57,0.92,train
I01_24_02.png,I01.png,2.5,0.847,train
I01_24_03.png,I01.png,1.87,0.67,train
I01_24_04.png,I01.png,1.6,0.554,train
I01_24_05.png,I01.png,1.4,0.554,train
I01_25_01.png,I01.png,3.43,0.844,train
I01_25_02.png,I01.png,3.87,0.806,test
I01_25_03.png,I01.png,4.26,0.566,train
I01_25_04.png,I01.png,4.17,0.582,train
I01_25_05.png,I01.png,3.27,0.854,train
I02_01_01.png,I02.png,4.5,0.719,train
I02_01_02.png,I02.png,4.17,0.934,train
I02_01_03.png,I02.png,2.07,0.772,train
I02_01_04.png,I02.png,1.57,0.496,test
I02_01_05.png,I02.png,1.27,0.512,train
I02_02_01.png,I02.png,3.2,0.748,train
I02_02_02.png,I02.png,2.27,0.854,train
I02_02_03.png,I02.png,1.57,0.616,train
I02_02_04.png,I02.png,1.17,0.373,train
I02_02_05.png,I02.png,1.0,0.0,train
I02_03_01.png,I02.png,4.6,0.554,train
I02_03_02.png,I02.png,3.77,0.716,val
I02_03_03.png,I02.png,2.33,0.699,train
I02_03_04.png,I02.png,1.8,0.542,train
I02_03_05.png,I02.png,1.2,0.4,train
I02_04_01.png,I02.png,4.3,0.64,train
I02_04_02.png,I02.png,2.67,0.869,train
I02_04_03.png,I02.png,1.87,0.763,train
I02_04_04.png,I02.png,1.77,0.716,train
I02_04_05.png,I02.png,1.53,0.718,train
I02_05_01.png,I02.png,3.77,0.761,test
I02_05_02.png,I02.png,1.8,0.476,train
I02_05_03.png,I02.png,1.33,0.471,train
I02_05_04.png,I02.png,1.37,0.482,train
I02_05_05.png,I02.png,1.47,0.562,test
I02_06_01.png,I02.png,4.2,0.872,train
I02_06_02.png,I02.png,4.07,0.727,train
I02_06_03.png,I02.png,3.97,0.948,val
I02_06_04.png,I02.png,3.7,0.936,train
I02_06_05.png,I02.png,2.63,0.983,train
I02_07_01.png,I02.png,2.47,1.087,train
I02_07_02.png,I02.png,2.37,1.048,train
I02_07_03.png,I02.png,2.06,1.045,train
I02_07_04.png,I02.png,1.97,1.048,train
I02_07_05.png,I02.png,1.53,0.763,test
I02_08_01.png,I02.png,4.4,0.554,train
I02_08_02.png,I02.png,3.4,0.879,train
I02_08_03.png,I02.png,3.06,1.043,train
I02_08_04.png,I02.png,1.97,0.912,train
I02_08_05.png,I02.png,1.37,0.752,val
I02_09_01.png,I02.png,4.57,0.716,train
I02_09_02.png,I02.png,3.73,0.814,train
I02_09_03.png,I02.png,3.07,1.123,train
I02_09_04.png,I02.png,1.53,0.562,train
I02_09_05.png,I02.png,1.27,0.442,train
I02_10_01.png,I02.png,4.6,0.554,train
I02_10_02.png,I02.png,4.33,0.596,train
I02_10_03.png,I02.png,4.13,0.718,train
I02_10_04.png,I02.png,2.6,1.281,train
I02_10_05.png,I02.png,1.6,0.757,train
I02_11_01.png,I02.png,4.27,0.929,train
I02_11_02.png,I02.png,3.7,0.936,train
I02_11_03.png,I02.png,3.4,0.841,train
I02_11_04.png,I02.png,2.73,0.772,train
I02_11_05.png,I02.png,2.3,0.69,train
I02_12_01.png,I02.png,4.63,0.547,val
I02_12_02.png,I02.png,4.06,0.84,train
I02_12_03.png,I02.png,3.67,0.83,train
I02_12_04.png,I02.png,2.6,0.8,test
I02_12_05.png,I02.png,2.37,0.706,val
I02_13_01.png,I02.png,4.2,0.702,train
I02_13_02.png,I02.png,3.33,1.164,train
I02_13_03.png,I02.png,2.73,0.892,train
I02_13_04.png,I02.png,2.53,0.806,train
I02_13_05.png,I02.png,1.97,0.547,train
I02_14_01.png,I02.png,4.33,0.699,train
I02_14_02.png,I02.png,3.37,0.836,train
I02_14_03.png,I02.png,2.7,0.781,train
I02_14_04.png,I02.png,2.33,0.869,train
I02_14_05.png,I02.png,2.0,0.73,train
I02_15_01.png,I02.png,3.57,0.883,train
I02_15_02.png,I02.png,2.77,0.716,train
I02_15_03.png,I02.png,2.03,0.795,val
I02_15_04.png,I02.png,1.5,0.563,train
I02_15_05.png,I02.png,1.5,0.671,train
I02_16_01.png,I02.png,4.4,0.841,val
I02_16_02.png,I02.png,4.4,0.554,test
I02_16_03.png,I02.png,3.77,0.716,train
I02_16_04.png,I02.png,2.9,0.907,train
I02_16_05.png,I02.png,1.83,0.734,test
I02_17_01.png,I02.png,4.5,0.5,test
I02_17_02.png,I02.png,4.63,0.547,train
I02_17_03.png,I02.png,4.33,0.596,train
I02_17_04.png,I02.png,3.63,0.795,train
I02_17_05.png,I02.png,1.9,0.79,train
I02_18_01.png,I02.png,4.13,0.67,train
I02_18_02.png,I02.png,4.63,0.547,train
I02_18_03.png,I02.png,4.73,0.442,train
I02_18_04.png,I02.png,4.33,0.537,train
I02_18_05.png,I02.png,4.03,0.605,train
I02_19_01.png,I02.png,4.17,0.778,train
I02_19_02.png,I02.png,4.0,0.73,train
I02_19_03.png,I02.png,3.23,0.955,train
I02_19_04.png,I02.png,1.57,0.496,train
I02_19_05.png,I02.png,1.3,0.458,train
I02_20_01.png,I02.png,4.5,0.671,train
I02_20_02.png,I02.png,4.47,0.618,train
I02_20_03.png,I02.png,4.4,0.712,val
I02_20_04.png,I02.png,3.83,0.898,train
I02_20_05.png,I02.png,4.4,0.841,test
I02_21_01.png,I02.png,4.2,1.046,train
I02_21_02.png,I02.png,3.23,0.955,train
I02_21_03.png,I02.png,3.13,1.118,test
I02_21_04.png,I02.png,2.67,1.011,train
I02_21_05.png,I02.png,1.37,0.547,test
I02_22_01.png,I02.png,4.73,0.442,train
I02_22_02.png,I02.png,4.26,0.879,train
I02_22_03.png,I02.png,4.4,0.841,train
I02_22_04.png,I02.png,3.93,0.929,train
I02_22_05.png,I02.png,3.2,1.013,train
I02_23_01.png,I02.png,2.1,0.907,val
I02_23_02.png,I02.png,2.7,1.038,train
I02_23_03.png,I02.png,2.27,0.998,train
I02_23_04.png,I02.png,2.2,0.748,train
I02_23_05.png,I02.png,2.07,0.772,train
I02_24_01.png,I02.png,3.07,0.964,train
I02_24_02.png,I02.png,1.93,0.68,train
I02_24_03.png,I02.png,1.47,0.618,train
I02_24_04.png,I02.png,1.23,0.423,train
I02_24_05.png,I02.png,1.2,0.476,train
I02_25_01.png,I02.png,3.37,0.795,train
I02_25_02.png,I02.png,3.7,0.936,val
I02_25_03.png,I02.png,4.27,0.512,test
I02_25_04.png,I02.png,4.1,0.746,train
I02_25_05.png,I02.png,3.33,0.699,train
I03_01_01.png,I03.png,4.7,0.458,train
I03_01_02.png,I03.png,4.63,0.482,train
I03_01_03.png,I03.png,3.0,0.856,val
I03_01_04.png,I03.png,1.83,0.637,train
I03_01_05.png,I03.png,1.17,0.373,val
I03_02_01.png,I03.png,4.03,0.836,train
I03_02_02.png,I03.png,2.7,0.9,train
I03_02_03.png,I03.png,1.7,0.64,train
I03_02_04.png,I03.png,1.47,0.562,val
I03_02_05.png,I03.png,1.23,0.496,val
I03_03_01.png,I03.png,4.6,0.49,train
I03_03_02.png,I03.png,4.37,0.706,test
I03_03_03.png,I03.png,2.93,0.814,test
I03_03_04.png,I03.png,2.23,0.716,train
I03_03_05.png,I03.png,1.63,0.605,train
I03_04_01.png,I03.png,4.6,0.49,train
I03_04_02.png,I03.png,2.9,0.978,train
I03_04_03.png,I03.png,1.53,0.718,train
I03_04_04.png,I03.png,1.2,0.6,train
I03_04_05.png,I03.png,1.1,0.3,train
I03_05_01.png,I03.png,4.78,0.413,train
I03_05_02.png,I03.png,2.65,0.785,train
I03_05_03.png,I03.png,2.0,0.683,train
I03_05_04.png,I03.png,1.87,0.718,train
I03_05_05.png,I03.png,2.23,0.989,train
I03_06_01.png,I03.png,4.0,0.856,train
I03_06_02.png,I03.png,3.8,1.013,train
I03_06_03.png,I03.png,3.33,1.011,test
I03_06_04.png,I03.png,2.83,0.934,train
I03_06_05.png,I03.png,1.77,0.667,test
I03_07_01.png,I03.png,2.37,1.08,train
I03_07_02.png,I03.png,1.67,0.83,train
I03_07_03.png,I03.png,1.43,0.559,train
I03_07_04.png,I03.png,1.53,0.67,train
I03_07_05.png,I03.png,1.47,0.618,train
I03_08_01.png,I03.png,4.53,0.562,train
I03_08_02.png,I03.png,3.13,1.024,train
I03_08_03.png,I03.png,2.47,0.957,test
I03_08_04.png,I03.png,1.37,0.547,train
I03_08_05.png,I03.png,1.23,0.496,train
I03_09_01.png,I03.png,4.4,0.757,train
I03_09_02.png,I03.png,3.6,0.987,train
I03_09_03.png,I03.png,3.1,0.978,train
I03_09_04.png,I03.png,1.77,0.616,train
I03_09_05.png,I03.png,1.1,0.3,train
I03_10_01.png,I03.png,4.47,0.67,train
I03_10_02.png,I03.png,4.17,0.898,train
I03_10_03.png,I03.png,3.7,1.005,train
I03_10_04.png,I03.png,2.23,0.667,train
I03_10_05.png,I03.png,1.53,0.718,test
I03_11_01.png,I03.png,3.97,0.836,val
I03_11_02.png,I03.png,3.6,0.757,train
I03_11_03.png,I03.png,3.27,0.854,train
I03_11_04.png,I03.png,2.93,0.929,train
I03_11_05.png,I03.png,2.5,0.847,train
I03_12_01.png,I03.png,4.57,0.496,train
I03_12_02.png,I03.png,3.87,0.763,val
I03_12_03.png,I03.png,3.17,0.734,train
I03_12_04.png,I03.png,2.9,0.907,test
I03_12_05.png,I03.png,2.6,0.917,train
I03_13_01.png,I03.png,4.4,0.611,train
I03_13_02.png,I03.png,3.57,0.989,train
I03_13_03.png,I03.png,2.83,0.778,train
I03_13_04.png,I03.png,2.3,0.823,train
I03_13_05.png,I03.png,2.4,0.663,test
I03_14_01.png,I03.png,4.4,0.554,val
I03_14_02.png,I03.png,3.5,0.992,test
I03_14_03.png,I03.png,3.03,0.948,train
I03_14_04.png,I03.png,2.53,0.67,val
I03_14_05.png,I03.png,2.17,0.582,train
I03_15_01.png,I03.png,4.13,0.763,train
I03_15_02.png,I03.png,3.3,1.038,train
I03_15_03.png,I03.png,2.53,0.806,train
I03_15_04.png,I03.png,1.9,0.597,test
I03_15_05.png,I03.png,1.43,0.559,train
I03_16_01.png,I03.png,4.37,0.482,train
I03_16_02.png,I03.png,4.27,0.512,train
I03_16_03.png,I03.png,2.87,0.991,test
I03_16_04.png,I03.png,2.3,0.9,test
I03_16_05.png,I03.png,1.4,0.554,train
I03_17_01.png,I03.png,4.5,0.5,train
I03_17_02.png,I03.png,4.63,0.547,train
I03_17_03.png,I03.png,4.4,0.49,train
I03_17_04.png,I03.png,3.67,0.745,test
I03_17_05.png,I03.png,2.77,1.086,train
I03_18_01.png,I03.png,4.23,0.716,train
I03_18_02.png,I03.png,4.73,0.442,train
I03_18_03.png,I03.png,4.5,0.619,train
I03_18_04.png,I03.png,4.47,0.499,train
I03_18_05.png,I03.png,4.2,0.653,train
I03_19_01.png,I03.png,4.17,0.734,train
I03_19_02.png,I03.png,3.33,0.699,train
I03_19_03.png,I03.png,3.17,0.934,train
I03_19_04.png,I03.png,1.77,0.667,train
I03_19_05.png,I03.png,1.37,0.482,train
I03_20_01.png,I03.png,4.37,0.912,test
I03_20_02.png,I03.png,4.67,0.471,val
I03_20_03.png,I03.png,4.23,0.716,train
I03_20_04.png,I03.png,4.17,1.098,train
I03_20_05.png,I03.png,3.63,1.016,train
I03_21_01.png,I03.png,3.97,1.048,train
I03_21_02.png,I03.png,2.8,0.945,train
I03_21_03.png,I03.png,2.73,0.789,train
I03_21_04.png,I03.png,2.87,0.806,train
I03_21_05.png,I03.png,1.39,0.487,train
I03_22_01.png,I03.png,4.4,0.757,train
I03_22_02.png,I03.png,4.6,0.611,train
I03_22_03.png,I03.png,4.23,0.844,train
I03_22_04.png,I03.png,4.07,0.854,val
I03_22_05.png,I03.png,4.0,0.683,train
I03_23_01.png,I03.png,3.2,1.222,test
I03_23_02.png,I03.png,2.3,0.862,train
I03_23_03.png,I03.png,2.47,1.056,train
I03_23_04.png,I03.png,2.1,0.79,train
I03_23_05.png,I03.png,2.2,0.945,train
I03_24_01.png,I03.png,3.67,0.789,train
I03_24_02.png,I03.png,2.47,0.921,train
I03_24_03.png,I03.png,1.9,0.79,train
I03_24_04.png,I03.png,1.4,0.611,train
I03_24_05.png,I03.png,1.13,0.34,train
I03_25_01.png,I03.png,3.67,0.699,train
I03_25_02.png,I03.png,3.84,0.723,train
I03_25_03.png,I03.png,4.63,0.605,train
I03_25_04.png,I03.png,4.4,0.49,train
I03_25_05.png,I03.png,3.67,0.789,train
I04_01_01.png,I04.png,4.77,0.423,train
I04_01_02.png,I04.png,4.3,0.69,val
I04_01_03.png,I04.png,2.5,0.992,train
I04_01_04.png,I04.png,1.57,0.616,val
I04_01_05.png,I04.png,1.2,0.4,train
I04_02_01.png,I04.png,3.57,0.667,val
I04_02_02.png,I04.png,2.43,0.667,train
I04_02_03.png,I04.png,1.5,0.671,test
I04_02_04.png,I04.png,1.43,0.559,train
I04_02_05.png,I04.png,1.2,0.4,train
I04_03_01.png,I04.png,4.7,0.526,train
I04_03_02.png,I04.png,4.17,0.687,test
I04_03_03.png,I04.png,2.63,0.795,train
I04_03_04.png,I04.png,1.93,0.727,train
I04_03_05.png,I04.png,1.6,0.49,val
I04_04_01.png,I04.png,4.33,0.745,val
I04_04_02.png,I04.png,3.07,0.929,val
I04_04_03.png,I04.png,2.37,1.016,train
I04_04_04.png,I04.png,1.97,0.999,train
I04_04_05.png,I04.png,1.67,0.907,train
I04_05_01.png,I04.png,3.7,0.862,train
I04_05_02.png,I04.png,1.83,0.82,train
I04_05_03.png,I04.png,1.93,0.814,train
I04_05_04.png,I04.png,1.43,0.496,train
I04_05_05.png,I04.png,1.47,0.562,val
I04_06_01.png,I04.png,4.37,0.875,train
I04_06_02.png,I04.png,4.43,0.667,test
I04_06_03.png,I04.png,3.83,1.035,train
I04_06_04.png,I04.png,3.47,0.846,test
I04_06_05.png,I04.png,2.73,0.854,train
I04_07_01.png,I04.png,2.7,0.971,train
I04_07_02.png,I04.png,2.63,1.11,train
I04_07_03.png,I04.png,2.7,0.862,train
I04_07_04.png,I04.png,2.57,0.955,train
I04_07_05.png,I04.png,2.16,0.766,train
I04_08_01.png,I04.png,4.7,0.458,val
I04_08_02.png,I04.png,3.43,1.146,train
I04_08_03.png,I04.png,3.13,0.846,train
I04_08_04.png,I04.png,2.33,0.978,train
I04_08_05.png,I04.png,1.83,0.778,train
I04_09_01.png,I04.png,4.6,0.554,train
I04_09_02.png,I04.png,4.4,0.663,train
I04_09_03.png,I04.png,4.07,0.892,test
I04_09_04.png,I04.png,1.73,0.727,train
I04_09_05.png,I04.png,1.23,0.496,train
I04_10_01.png,I04.png,4.27,0.727,train
I04_10_02.png,I04.png,4.1,0.597,train
I04_10_03.png,I04.png,3.87,0.562,train
I04_10_04.png,I04.png,1.87,0.67,train
I04_10_05.png,I04.png,1.23,0.423,train
I04_11_01.png,I04.png,3.63,0.912,train
I04_11_02.png,I04.png,3.57,0.803,train
I04_11_03.png,I04.png,3.03,0.836,train
I04_11_04.png,I04.png,2.4,0.663,train
I04_11_05.png,I04.png,2.3,0.64,train
I04_12_01.png,I04.png,4.33,0.699,train
I04_12_02.png,I04.png,3.27,0.814,train
I04_12_03.png,I04.png,3.2,0.792,test
I04_12_04.png,I04.png,2.5,0.806,train
I04_12_05.png,I04.png,2.2,0.542,train
I04_13_01.png,I04.png,3.43,0.761,train
I04_13_02.png,I04.png,2.83,0.82,train
I04_13_03.png,I04.png,2.73,0.814,test
I04_13_04.png,I04.png,2.2,0.702,train
I04_13_05.png,I04.png,1.87,0.718,train
I04_14_01.png,I04.png,4.53,0.67,test
I04_14_02.png,I04.png,3.23,0.883,train
I04_14_03.png,I04.png,2.83,0.86,test
I04_14_04.png,I04.png,2.4,0.917,train
I04_14_05.png,I04.png,2.1,0.7,train
I04_15_01.png,I04.png,3.8,0.702,val
I04_15_02.png,I04.png,2.7,0.862,test
I04_15_03.png,I04.png,2.23,0.761,test
I04_15_04.png,I04.png,1.67,0.471,train
I04_15_05.png,I04.png,1.27,0.512,train
I04_16_01.png,I04.png,4.57,0.496,test
I04_16_02.png,I04.png,4.47,0.67,train
I04_16_03.png,I04.png,3.83,0.734,train
I04_16_04.png,I04.png,2.73,0.854,train
I04_16_05.png,I04.png,2.03,0.836,train
I04_17_01.png,I04.png,4.53,0.718,train
I04_17_02.png,I04.png,4.6,0.49,train
I04_17_03.png,I04.png,3.97,0.605,train
I04_17_04.png,I04.png,3.4,0.879,train
I04_17_05.png,I04.png,1.97,0.836,train
I04_18_01.png,I04.png,4.27,0.68,val
I04_18_02.png,I04.png,4.63,0.605,train
I04_18_03.png,I04.png,4.87,0.34,train
I04_18_04.png,I04.png,4.57,0.496,train
I04_18_05.png,I04.png,3.63,0.657,train
I04_19_01.png,I04.png,4.33,0.537,train
I04_19_02.png,I04.png,3.9,0.907,train
I04_19_03.png,I04.png,3.03,0.822,val
I04_19_04.png,I04.png,1.6,0.611,train
I04_19_05.png,I04.png,1.33,0.471,train
I04_20_01.png,I04.png,4.6,0.554,train
I04_20_02.png,I04.png,4.1,1.136,train
I04_20_03.png,I04.png,4.1,0.943,train
I04_20_04.png,I04.png,3.6,1.143,train
I04_20_05.png,I04.png,4.1,0.907,val
I04_21_01.png,I04.png,4.4,0.663,train
I04_21_02.png,I04.png,3.17,0.969,train
I04_21_03.png,I04.png,3.03,0.948,train
I04_21_04.png,I04.png,2.93,0.854,test
I04_21_05.png,I04.png,1.27,0.442,train
I04_22_01.png,I04.png,4.17,0.898,train
I04_22_02.png,I04.png,3.68,1.059,train
I04_22_03.png,I04.png,3.6,1.2,train
I04_22_04.png,I04.png,3.37,1.11,train
I04_22_05.png,I04.png,2.9,1.027,test
I04_23_01.png,I04.png,2.27,0.964,test
I04_23_02.png,I04.png,2.37,0.836,train
I04_23_03.png,I04.png,1.87,0.718,train
I04_23_04.png,I04.png,2.23,0.667,train
I04_23_05.png,I04.png,2.2,0.748,val
I04_24_01.png,I04.png,3.77,0.844,train
I04_24_02.png,I04.png,2.6,0.8,test
I04_24_03.png,I04.png,2.0,0.683,train
I04_24_04.png,I04.png,1.67,0.65,train
I04_24_05.png,I04.png,1.5,0.719,train
I04_25_01.png,I04.png,3.61,0.704,train
I04_25_02.png,I04.png,3.73,0.772,train
I04_25_03.png,I04.png,3.9,0.79,train
I04_25_04.png,I04.png,4.23,0.559,train
I04_25_05.png,I04.png,3.43,0.844,train
I05_01_01.png,I05.png,4.6,0.663,train
I05_01_02.png,I05.png,4.47,0.562,train
I05_01_03.png,I05.png,2.83,0.82,train
I05_01_04.png,I05.png,1.7,0.586,test
I05_01_05.png,I05.png,1.17,0.373,train
I05_02_01.png,I05.png,3.67,0.869,train
I05_02_02.png,I05.png,2.63,0.752,train
I05_02_03.png,I05.png,1.57,0.616,train
I05_02_04.png,I05.png,1.33,0.471,train
I05_02_05.png,I05.png,1.37,0.547,train
I05_03_01.png,I05.png,4.47,0.562,train
I05_03_02.png,I05.png,3.9,0.87,train
I05_03_03.png,I05.png,2.68,0.69,train
I05_03_04.png,I05.png,1.87,0.562,train
I05_03_05.png,I05.png,1.53,0.562,train
I05_04_01.png,I05.png,4.57,0.496,test
I05_04_02.png,I05.png,3.0,1.0,train
I05_04_03.png,I05.png,1.77,0.716,train
I05_04_04.png,I05.png,1.57,0.616,train
I05_04_05.png,I05.png,1.53,0.67,train
I05_05_01.png,I05.png,4.23,0.616,train
I05_05_02.png,I05.png,2.27,0.929,train
I05_05_03.png,I05.png,1.83,0.734,train
I05_05_04.png,I05.png,1.67,0.537,train
I05_05_05.png,I05.png,1.63,0.605,val
I05_06_01.png,I05.png,4.33,0.699,train
I05_06_02.png,I05.png,4.37,0.605,train
I05_06_03.png,I05.png,4.27,0.727,train
I05_06_04.png,I05.png,3.63,0.983,test
I05_06_05.png,I05.png,2.9,1.136,train
I05_07_01.png,I05.png,2.57,0.844,train
I05_07_02.png,I05.png,2.33,1.011,train
I05_07_03.png,I05.png,2.1,0.79,train
I05_07_04.png,I05.png,2.23,0.989,train
I05_07_05.png,I05.png,2.23,0.989,train
I05_08_01.png,I05.png,4.73,0.442,train
I05_08_02.png,I05.png,3.37,0.795,train
I05_08_03.png,I05.png,2.77,0.955,train
I05_08_04.png,I05.png,1.63,0.752,train
I05_08_05.png,I05.png,1.7,0.971,train
I05_09_01.png,I05.png,4.3,0.586,train
I05_09_02.png,I05.png,2.6,1.114,train
I05_09_03.png,I05.png,2.37,1.11,train
I05_09_04.png,I05.png,1.57,0.667,train
I05_09_05.png,I05.png,1.23,0.423,val
I05_10_01.png,I05.png,4.43,0.716,train
I05_10_02.png,I05.png,4.4,0.554,val
I05_10_03.png,I05.png,4.3,0.737,train
I05_10_04.png,I05.png,2.47,1.284,train
I05_10_05.png,I05.png,1.27,0.512,train
I05_11_01.png,I05.png,4.4,0.841,train
I05_11_02.png,I05.png,4.23,0.791,train
I05_11_03.png,I05.png,3.83,1.098,train
I05_11_04.png,I05.png,3.33,0.789,val
I05_11_05.png,I05.png,2.53,0.806,train
I05_12_01.png,I05.png,4.53,0.499,train
I05_12_02.png,I05.png,4.43,0.761,train
I05_12_03.png,I05.png,4.06,0.669,train
I05_12_04.png,I05.png,3.03,0.836,test
I05_12_05.png,I05.png,2.8,0.833,train
I05_13_01.png,I05.png,3.47,1.118,train
I05_13_02.png,I05.png,2.63,0.983,val
I05_13_03.png,I05.png,2.3,0.9,test
I05_13_04.png,I05.png,2.07,0.68,train
I05_13_05.png,I05.png,2.07,0.929,val
I05_14_01.png,I05.png,4.37,0.482,train
I05_14_02.png,I05.png,4.37,0.605,val
I05_14_03.png,I05.png,4.47,0.562,train
I05_14_04.png,I05.png,4.2,0.653,train
I05_14_05.png,I05.png,3.61,0.904,train
I05_15_01.png,I05.png,3.5,0.885,train
I05_15_02.png,I05.png,2.7,0.971,train
I05_15_03.png,I05.png,2.17,0.82,train
I05_15_04.png,I05.png,1.87,0.884,train
I05_15_05.png,I05.png,1.47,0.562,train
I05_16_01.png,I05.png,4.43,0.667,train
I05_16_02.png,I05.png,4.37,0.482,test
I05_16_03.png,I05.png,3.67,0.699,train
I05_16_04.png,I05.png,3.1,0.943,train
I05_16_05.png,I05.png,2.27,0.854,val
I05_17_01.png,I05.png,4.5,0.619,train
